t_wall,strategy,theta,instance,family,value,seconds,status,detail
276.2,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 13 --min_fr=1.0 -t 30,BR2,96.584630,44.93,ok,
279.8,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 34 --min_fr=0.98 -t 30,BR14,95.083268,48.50,ok,
280.1,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 93 --min_fr=1.0 -t 30,BR6,97.176538,48.79,ok,
282.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 46 --min_fr=0.98 -t 30,BR15,94.135080,51.30,ok,
283.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 41 --min_fr=0.98 -t 30,BR12,95.128077,52.19,ok,
285.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 96 --min_fr=0.98 -t 30,BR8,95.018664,54.25,ok,
311.2,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 88 --min_fr=0.98 -t 30,BR9,95.298392,41.91,ok,
311.8,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 65 --min_fr=0.98 -t 30,BR12,95.345169,43.38,ok,
313.0,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 91 --min_fr=0.98 -t 30,BR13,94.771845,36.79,ok,
316.3,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 31 --min_fr=1.0 -t 30,BR6,96.525573,40.77,ok,
316.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 41 --min_fr=1.0 -t 30,BR2,96.611599,41.77,ok,
317.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 31 --min_fr=1.0 -t 30,BR7,96.647309,42.19,ok,
317.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 99 --min_fr=0.98 -t 30,BR15,94.375077,46.39,ok,
318.1,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 95 --min_fr=0.98 -t 30,BR11,95.131477,44.83,ok,
319.4,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 15 --min_fr=1.0 -t 30,BR5,96.489743,39.61,ok,
322.3,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 36 --min_fr=1.0 -t 30,BR3,96.813865,42.20,ok,
323.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 97 --min_fr=1.0 -t 30,BR1,96.892609,48.86,ok,
323.8,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 78 --min_fr=0.98 -t 30,BR10,95.409796,48.68,ok,
324.1,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 94 --min_fr=0.98 -t 30,BR14,94.337559,49.22,ok,
329.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 90 --min_fr=0.98 -t 30,BR12,95.049263,44.11,ok,
343.2,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 76 --min_fr=1.0 -t 30,BR4,96.358658,60.59,ok,
344.4,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 76 --min_fr=0.98 -t 30,BR8,95.377456,60.92,ok,
352.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 53 --min_fr=0.98 -t 30,BR11,94.735128,39.53,ok,
355.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 96 --min_fr=1.0 -t 30,BR1,95.778079,39.27,ok,
357.0,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 70 --min_fr=0.98 -t 30,BR9,95.673073,45.84,ok,
357.7,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 77 --min_fr=1.0 -t 30,BR2,96.968722,41.09,ok,
358.1,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 61 --min_fr=1.0 -t 30,BR6,95.657925,38.76,ok,
361.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 41 --min_fr=0.98 -t 30,BR14,94.613269,43.95,ok,
362.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 39 --min_fr=1.0 -t 30,BR7,95.758374,44.44,ok,
363.2,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 43 --min_fr=1.0 -t 30,BR4,96.014187,39.05,ok,
364.6,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 72 --min_fr=1.0 -t 30,BR3,95.786933,40.88,ok,
365.9,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 56 --min_fr=0.98 -t 30,BR15,94.377004,54.13,ok,
366.0,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 15 --min_fr=0.98 -t 30,BR10,94.918344,48.32,ok,
367.5,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 54 --min_fr=0.98 -t 30,BR13,94.337276,45.22,ok,
367.9,bsg,a=8.0;b=0.5;g=0.3;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 30 --min_fr=1.0 -t 30,BR5,96.057159,44.37,ok,
