t_wall,strategy,theta,instance,family,value,seconds,status,detail
245.5,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 20 --min_fr=1.0 -t 30,BR7,95.989943,30.12,ok,
245.8,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 35 --min_fr=1.0 -t 30,BR6,96.213379,30.12,ok,
246.3,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 9 --min_fr=1.0 -t 30,BR3,96.277394,30.24,ok,
246.3,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 95 --min_fr=1.0 -t 30,BR5,96.542303,30.38,ok,
246.6,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,95.473602,31.31,ok,
246.8,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,94.864498,30.86,ok,
246.9,bsg,a=4.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,95.723336,30.10,ok,
277.0,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,94.800705,30.12,ok,
277.1,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,96.631596,30.20,ok,
277.4,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,96.065088,30.51,ok,
277.6,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,94.820822,30.74,ok,
277.7,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,94.532417,30.79,ok,
277.8,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 4 --min_fr=0.98 -t 30,BR9,95.688271,30.89,ok,
278.5,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,95.022878,31.60,ok,
279.8,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,94.742097,32.90,ok,
307.2,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 20 --min_fr=1.0 -t 30,BR7,95.853321,30.12,ok,
307.5,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 35 --min_fr=1.0 -t 30,BR6,95.906399,30.12,ok,
308.0,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 9 --min_fr=1.0 -t 30,BR3,96.519391,30.24,ok,
308.1,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 95 --min_fr=1.0 -t 30,BR5,97.055197,30.38,ok,
308.3,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,95.454941,31.29,ok,
308.5,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,94.433120,30.85,ok,
308.6,bsg,a=8.0;b=0.5;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,95.935851,30.08,ok,
338.7,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,95.478321,30.08,ok,
338.8,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,97.176146,30.23,ok,
339.1,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,95.628243,30.51,ok,
339.4,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,94.748923,30.75,ok,
339.4,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,95.020638,30.75,ok,
339.4,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 4 --min_fr=0.98 -t 30,BR9,95.513981,30.85,ok,
340.2,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,94.946619,31.62,ok,
341.4,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,94.421096,32.77,ok,
368.9,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 20 --min_fr=1.0 -t 30,BR7,96.237148,30.12,ok,
369.2,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 35 --min_fr=1.0 -t 30,BR6,96.735545,30.12,ok,
369.7,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 9 --min_fr=1.0 -t 30,BR3,96.600429,30.23,ok,
369.7,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 95 --min_fr=1.0 -t 30,BR5,96.811791,30.38,ok,
370.0,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR10.txt -i 40 --min_fr=0.98 -t 30,BR10,95.282180,31.31,ok,
370.2,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR13.txt -i 39 --min_fr=0.98 -t 30,BR13,94.946354,30.86,ok,
370.3,bsg,a=4.0;b=1.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR4.txt -i 69 --min_fr=1.0 -t 30,BR4,96.265952,30.09,ok,
400.4,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR1.txt -i 27 --min_fr=1.0 -t 30,BR1,95.613810,30.11,ok,
400.5,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR2.txt -i 76 --min_fr=1.0 -t 30,BR2,97.106996,30.22,ok,
400.8,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR8.txt -i 93 --min_fr=0.98 -t 30,BR8,96.508101,30.51,ok,
401.1,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR11.txt -i 51 --min_fr=0.98 -t 30,BR11,95.243210,30.75,ok,
401.1,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR12.txt -i 79 --min_fr=0.98 -t 30,BR12,94.791144,30.76,ok,
401.2,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR9.txt -i 4 --min_fr=0.98 -t 30,BR9,95.230438,30.86,ok,
401.9,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR14.txt -i 58 --min_fr=0.98 -t 30,BR14,94.853870,31.62,ok,
403.1,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR15.txt -i 47 --min_fr=0.98 -t 30,BR15,94.819024,32.73,ok,
430.7,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR7.txt -i 20 --min_fr=1.0 -t 30,BR7,96.295374,30.12,ok,
431.0,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR6.txt -i 35 --min_fr=1.0 -t 30,BR6,96.569917,30.12,ok,
431.4,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR3.txt -i 9 --min_fr=1.0 -t 30,BR3,96.320592,30.23,ok,
431.4,bsg,a=4.0;b=2.0;g=0.1;p=0.01,/home/iaraya/T4exps/bsg_algo/BR5.txt -i 95 --min_fr=1.0 -t 30,BR5,96.961391,30.37,ok,
