runs,likelihood,depth,output
13305,0.9302325581395349,17,"(4.0, 2.0, 0.4, 0.01)"
13330,0.9591836734693877,17,"(4.0, 2.0, 0.4, 0.01)"
13355,0.9411764705882353,17,"(4.0, 2.0, 0.4, 0.01)"
13380,0.9282051282051282,17,"(4.0, 2.0, 0.4, 0.01)"
13405,0.9483204134366925,17,"(4.0, 2.0, 0.4, 0.01)"
13430,0.9564102564102565,17,"(4.0, 2.0, 0.4, 0.01)"
13455,0.9461538461538461,17,"(4.0, 2.0, 0.4, 0.01)"
13480,0.951530612244898,17,"(4.0, 2.0, 0.4, 0.01)"
13505,0.9516539440203562,17,"(4.0, 2.0, 0.4, 0.01)"
13515,0.941025641025641,17,"(4.0, 2.0, 0.4, 0.01)"
13540,0.953125,17,"(4.0, 2.0, 0.4, 0.01)"
13565,0.9476439790575916,17,"(4.0, 2.0, 0.4, 0.01)"
13590,0.9464285714285714,17,"(4.0, 2.0, 0.4, 0.01)"
13615,0.9461538461538461,17,"(4.0, 2.0, 0.4, 0.01)"
